,add0,add1,price,mls,Beds,Full Baths,lot size,Sq. Ft,Half Bath,Full Bath
0,0 Gateway,"Rock Springs, WY 82901",725000,20156419,None,None,None,None,None,None
1,1003 Winchester Blvd.,"Rock Springs, WY 82901",452900,20152130,4,4,0.21 Acres,None,None,None
2,600 Talladega,"Rock Springs, WY 82901",396900,20156389,5,3,None,"3,154",None,None
3,3239 Spearhead Way,"Rock Springs, WY 82901",389900,20160119,4,3,"Under 1/2 Acre, 0.23 Acres","3,076",1,None
4,522 Emerald Street,"Rock Springs, WY 82901",254000,20155008,3,3,"Under 1/2 Acre, 0.19 Acres","1,172",None,None
5,1302 Veteran's Drive,"Rock Springs, WY 82901",252900,20160028,4,2,0.27 Acres,"1,932",None,None
6,1021 Cypress Cir,"Rock Springs, WY 82901",210000,20156320,4,3,"Under 1/2 Acre, 0.43 Acres","1,676",None,None
7,913 Madison Dr,"Rock Springs, WY 82901",209000,20155756,3,2,"Under 1/2 Acre, 0.13 Acres","1,344",None,None
8,1344 Teton Street,"Rock Springs, WY 82901",199900,20156880,3,2,"Under 1/2 Acre, 0.14 Acres","1,920",None,None
9,4 Minnies Lane,"Rock Springs, WY 82901",196900,20156365,3,2,2.02 Acres,"1,664",None,None
10,9339 Sd 26900,"Rocksprings, TX 78880",1700000,81415,None,None,None,"2,560",None,None
11,RR674P13 Hwy 377,"Rocksprings, TX 78880",1100000,85217,None,None,None,"2,000",None,None
12,0 Hwy 41,"Rocksprings, TX 78880",1080000,86198,None,None,None,None,None,None
13,9339 Sd 26900,"Rocksprings, TX 78880",908350,85642,None,None,None,"2,560",None,None
14,CR450 Hwy 377,"Rocksprings, TX 78880",905000,85215,None,None,None,None,None,None
15,Cr 240 Cr 240,"Rocksprings, TX 78880",695000,86361,None,None,None,"1,398",None,None
16,RR674 Hwy 377,"Rocksprings, TX 78880",605000,86312,None,None,None,"1,738",None,None
17,9770a Sd 26900,"Rocksprings, TX 78880",559805,85713,None,None,None,"1,080",None,None
18,Lot17 CR 2630,"Rocksprings, TX 78880",504000,86642,None,None,None,None,None,None
19,"Tr12,16 CR 520","Rocksprings, TX 78880",410000,86390,None,None,None,None,None,None
20,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",299900,4857876,3,2,None,"2,318",None,None
21,32750 S Shangrila Drive,"Black Canyon City, AZ 85324",167500,4773355,3,2,None,"2,120",None,None
22,0000 Black Canyon Highway,"Black Canyon City, AZ 85324",150000,4841819,None,None,5 Acres,None,None,None
23,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",129500,4686266,3,2,None,"1,220",None,None
24,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",129000,4724003,4,2,None,"2,000",None,None
25,34263 S Bertha Street,"Black Canyon City, AZ 85324",80000,4805622,5,2,None,"2,260",None,None
26,33160 S Canyon Road,"Black Canyon City, AZ 85324",77900,4782047,3,2,None,"1,248",None,None
27,19421 E Todd Evans Road,"Black Canyon City, AZ 85324",70500,4828193,3,2,None,"1,404",None,None
28,18688 E AGUA Vista,"Black Canyon City, AZ 85324",70000,4835071,None,None,0.7 Acres,None,None,None
29,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",67500,2616830,None,None,3 Acres,None,None,None
30,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",54900,4824906,None,None,None,None,None,None
31,33259 S Canyon Road,"Black Canyon City, AZ 85324",45600,4722011,3,None,None,"1,056",None,1
32,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",40000,4657463,2,None,Under 1/2 Acre,784,None,1
33,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",30000,4781544,None,None,2.35 Acres,None,None,None
34,19000 E MAREN Avenue,"Black Canyon City, AZ 85324",29000,4621064,None,None,2.05 Acres,None,None,None
35,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",28995,4848089,None,None,0.73 Acres,None,None,None
36,20650 E Amethyst Place,"Black Canyon City, AZ 85324",15000,4749944,None,None,0.31 Acres,None,None,None
